species_id,scientific_name,common_name,phylum,toxicity_level,bloom_trigger_conditions,notes
1e358323-30e0-5e1b-a5a2-719bd0c1f279,Microcystis aeruginosa,Blue-green algae,Cyanobacteria,high,"Warm water (>25 degC), high phosphorus (TP >50 ug/L), calm stratified conditions, high light",Produces microcystins (hepatotoxins); most globally reported HAB species; surface scums in still water
9e0fb491-3df2-50f7-8412-29e49ab46b3a,Anabaena flos-aquae,Freshwater blue-green algae,Cyanobacteria,high,"Warm temperatures (20-30 degC), low N:P ratio, calm winds, moderate to high phosphorus",Produces anatoxins and microcystins; nitrogen-fixing; common in eutrophic lakes and reservoirs
36f92b99-681f-5cf0-bdfe-7f48ae9882a9,Aphanizomenon flos-aquae,Freshwater bloom-former,Cyanobacteria,moderate,"Warm water (18-28 degC), low nitrogen, high phosphorus, stable stratification",Nitrogen-fixer; produces saxitoxins in some strains; forms floating bundle-shaped colonies
1596303d-c95b-55e3-b24c-256261143588,Cylindrospermopsis raciborskii,—,Cyanobacteria,high,"Warm to subtropical temperatures (>25 degC), low N:P ratio, extended thermal stratification",Produces cylindrospermopsin; expanding range poleward due to climate warming; tolerates low light
0fbf8c30-0f98-5d7c-beb8-ee18ea1981aa,Nodularia spumigena,—,Cyanobacteria,high,"Brackish to marine, warm summer temperatures, high phosphorus, low nitrogen",Produces nodularin (hepatotoxin); characteristic of Baltic Sea and Australian estuaries
04762f8c-7329-5da8-8726-bd42e76c1009,Dolichospermum circinale,Coiled blue-green algae,Cyanobacteria,high,"Warm slow-flowing rivers (>20 degC), elevated nutrients, calm conditions",Produces saxitoxins and geosmin; problematic in Australian rivers
f8404ef1-6e70-538f-8e45-d49f7e2c8fec,Planktothrix agardhii,—,Cyanobacteria,high,"Cool to warm temperatures (10-25 degC), high phosphorus, deep mixing, low light tolerance",Produces microcystins; thrives in turbid well-mixed polymictic lakes; can bloom year-round
139c6e40-31aa-5666-988e-8b9c18d883be,Lyngbya majuscula,Mermaids hair,Cyanobacteria,high,"Warm tropical to subtropical marine/freshwater (>22 degC), high phosphorus, low grazing pressure",Produces lyngbyatoxin-a; benthic mat-former; causes swimmers itch and fish kills
1fdb25fa-1e6f-5975-bb33-48926c43aab1,Karenia brevis,Florida red tide,Dinoflagellata,high,"Warm coastal ocean (>24 degC), low-salinity surface layer, upwelling of nutrient-rich deep water",Produces brevetoxins; marine fish kills; aerosol causes respiratory irritation
6baca93a-e6a8-5985-adbf-9d7173d62c45,Alexandrium minutum,—,Dinoflagellata,high,"Coastal marine/estuarine, warm stratified waters (16-24 degC), elevated nutrients from runoff",Produces saxitoxins; major shellfish industry threat
